1,1,103,5
1,1,102,3
1,2,201,2
1,2,202,4
1,3,301,1
2,1,103,2
2,2,203,3
2,2,204,2
2,3,302,1
2,3,303,2
3,1,104,4
3,1,105,2
3,2,205,3
3,2,206,1
3,3,304,2
4,1,106,5
4,1,107,3
4,2,207,4
4,2,208,2
4,3,305,1
5,1,108,2
5,1,109,3
5,2,209,4
5,2,201,2
5,3,306,1
6,1,101,3
6,1,102,2
6,2,201,1
6,2,202,3
6,3,307,2
7,1,102,4
7,1,103,2
7,2,203,3
7,2,204,1
7,3,308,2
8,1,104,3
8,1,105,2
8,2,205,4
8,2,206,3
8,3,309,1
9,1,106,2
9,1,107,3
9,2,207,1
9,2,208,2
9,3,310,2
10,1,108,3
10,1,109,2
10,2,209,4
10,2,210,3
10,3,301,1
